name,company,location_type,job_type,posting_date,application_link,location,description
Software Engineer Intern - Backend & AI,Relixir,On-site,Internship,4 hours ago,https://www.linkedin.com/jobs/view/software-engineer-intern-backend-ai-at-relixir-yc-x25-4291505293?position=18&pageNum=0&refId=PVQRdprLPYytRmL%2F22lD6w%3D%3D&trackingId=mHlzE4F3YxidL7exEbnw5w%3D%3D,"San Francisco, CA","Job at Relixir in San Francisco, CA"
Visual Merchandising Intern (Fall 2025),OCCITANE Group,On-site,Internship,1 day ago,https://www.linkedin.com/jobs/view/visual-merchandising-intern-fall-2025-at-l-occitane-group-b-corp-4290833183?position=19&pageNum=0&refId=PVQRdprLPYytRmL%2F22lD6w%3D%3D&trackingId=VFWdCIzDr%2BmiaNstS6Z3Jw%3D%3D,"New York, NY","Job at OCCITANE Group in New York, NY"
Product Management Junior Associate Consultant (Intern),Mercedes,On-site,Internship,1 week ago,https://www.linkedin.com/jobs/view/product-management-junior-associate-consultant-intern-at-mercedes-benz-usa-4284062723?position=20&pageNum=0&refId=PVQRdprLPYytRmL%2F22lD6w%3D%3D&trackingId=JFhDLyFxt%2FYSDaIHtSc9hw%3D%3D,"Atlanta, GA","Job at Mercedes in Atlanta, GA"
BOTTEGA VENETA Retail Operations Intern,Bottega,On-site,Internship,1 week ago,https://www.linkedin.com/jobs/view/bottega-veneta-retail-operations-intern-at-bottega-veneta-4288471510?position=21&pageNum=0&refId=PVQRdprLPYytRmL%2F22lD6w%3D%3D&trackingId=IZ4VTgZBe4FE0g%2BAgYkGaA%3D%3D,"New York, NY","Job at Bottega in New York, NY"
"Intern, Community Management",BEAUTY,On-site,Internship,20 hours ago,https://www.linkedin.com/jobs/view/intern-community-management-at-e-l-f-beauty-4279660540?position=22&pageNum=0&refId=PVQRdprLPYytRmL%2F22lD6w%3D%3D&trackingId=Jv6Ao53EqodWUf3dOihQPw%3D%3D,"New York, NY","Job at BEAUTY in New York, NY"
"Trading Analyst Intern, Rates",Garda,On-site,Internship,1 week ago,https://www.linkedin.com/jobs/view/trading-analyst-intern-rates-at-garda-capital-partners-4284481870?position=23&pageNum=0&refId=PVQRdprLPYytRmL%2F22lD6w%3D%3D&trackingId=VfhxA2kJ1NkCp%2B1dgdHypw%3D%3D,"New York, NY","Job at Garda in New York, NY"
Intern,MillerKnoll,On-site,Internship,1 month ago,https://www.linkedin.com/jobs/view/intern-at-millerknoll-4275877546?position=24&pageNum=0&refId=PVQRdprLPYytRmL%2F22lD6w%3D%3D&trackingId=%2BGuh3qNbzZnTYEg3Y03XUA%3D%3D,"Washington, DC","Job at MillerKnoll in Washington, DC"
Motion Graphics Intern,Utah,On-site,Internship,5 days ago,https://www.linkedin.com/jobs/view/motion-graphics-intern-at-utah-grizzlies-4289955588?position=25&pageNum=0&refId=PVQRdprLPYytRmL%2F22lD6w%3D%3D&trackingId=cT6nQFBlJjTFFBbIOjAi%2Fg%3D%3D,"West Valley City, UT","Job at Utah in West Valley City, UT"
"Intern, Product Development",BEAUTY,On-site,Internship,1 day ago,https://www.linkedin.com/jobs/view/intern-product-development-at-e-l-f-beauty-4290934080?position=26&pageNum=0&refId=PVQRdprLPYytRmL%2F22lD6w%3D%3D&trackingId=cf88hBZa4%2FKk2C0IFMsVxw%3D%3D,"Oakland, CA","Job at BEAUTY in Oakland, CA"
Associate AI Developer Intern - Fall 2025,APARAVI,On-site,Internship,1 week ago,https://www.linkedin.com/jobs/view/associate-ai-developer-intern-fall-2025-at-aparavi-4288355835?position=27&pageNum=0&refId=PVQRdprLPYytRmL%2F22lD6w%3D%3D&trackingId=Fj36g91ZUBGSYVHCsy7fgQ%3D%3D,"San Francisco, CA","Job at APARAVI in San Francisco, CA"
HR Operations Intern,Block,On-site,Internship,1 week ago,https://www.linkedin.com/jobs/view/hr-operations-intern-at-the-block-4287470728?position=28&pageNum=0&refId=PVQRdprLPYytRmL%2F22lD6w%3D%3D&trackingId=oQbqbvSnUjOs5pp0xE5gJQ%3D%3D,United States,Job at Block in United States
Full Stack Software Engineering Intern,RetailReady,On-site,Internship,1 day ago,https://www.linkedin.com/jobs/view/full-stack-software-engineering-intern-at-retailready-4291006543?position=29&pageNum=0&refId=PVQRdprLPYytRmL%2F22lD6w%3D%3D&trackingId=lyauYuuzD72x4Zf70Om2GA%3D%3D,"San Francisco, CA","Job at RetailReady in San Francisco, CA"
